id,company_name,channel,contact_email,status,reason,jurisdiction,lead_id,evaluated_at
308,Santa Clara County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 0 candidate leads evaluated","Santa Clara County, CA",JUR-CA-SANTA-CLARA-COUNTY,2026-09-17T19:28:16.008780+00:00
306,San Francisco County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 1 candidate leads evaluated","San Francisco County, CA",JUR-CA-SAN-FRANCISCO-COUNTY,2026-09-17T19:28:16.006779+00:00
307,San Francisco County Commercial Lead #1,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during San Francisco County municipal docket sweep,"San Francisco County, CA",DISC-CA-SAN-101,2026-09-17T19:28:16.006779+00:00
304,San Diego County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 1 candidate leads evaluated","San Diego County, CA",JUR-CA-SAN-DIEGO-COUNTY,2026-09-17T19:28:09.848662+00:00
305,San Diego County Commercial Lead #1,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during San Diego County municipal docket sweep,"San Diego County, CA",DISC-CA-SAN-101,2026-09-17T19:28:09.848662+00:00
302,San Bernardino County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 1 candidate leads evaluated","San Bernardino County, CA",JUR-CA-SAN-BERNARDINO-COUNTY,2026-09-17T19:27:58.487660+00:00
303,San Bernardino County Commercial Lead #1,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during San Bernardino County municipal docket sweep,"San Bernardino County, CA",DISC-CA-SAN-101,2026-09-17T19:27:58.487660+00:00
300,Sacramento County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 1 candidate leads evaluated","Sacramento County, CA",JUR-CA-SACRAMENTO-COUNTY,2026-09-17T00:22:46.221134+00:00
301,Sacramento County Commercial Lead #1,County Court Dockets & Filing Parties,,EVALUATED (DISCOVERY QUEUE),Candidate operator discovered during Sacramento County municipal docket sweep,"Sacramento County, CA",DISC-CA-SAC-101,2026-09-17T00:22:46.221134+00:00
298,Riverside County Public Records Registry,National County Orchestrator,,EVALUATED (JURISDICTION TARGET),"National Swarm Orchestrator target: 2 visits logged, 1 candidate leads evaluated","Riverside County, CA",JUR-CA-RIVERSIDE-COUNTY,2026-09-17T00:22:41.155960+00:00
